income,height,weight,age,marital,sex,education,afqt
19000,60,155,53,married,female,13,6.841
35000,70,156,51,married,female,10,49.444
105000,65,195,52,married,male,16,99.393
40000,63,197,54,married,female,14,44.022
75000,66,190,49,married,male,14,59.683
102000,68,200,49,divorced,female,18,98.798
70000,64,160,54,divorced,female,12,50.283
60000,69,162,55,divorced,male,12,89.669
150000,69,194,54,divorced,male,13,95.977
115000,64,145,53,married,female,16,67.021
343830,62,170,51,married,female,16,88.416
40000,64,145,49,divorced,female,16,89.167
35000,66,128,52,married,female,14,51.39
105000,67,177,50,married,male,16,97.075
16036,62,170,52,married,female,16,96.674
5200,68,175,52,married,female,12,25.905
42000,69,198,49,married,male,12,NA
53000,70,221,54,divorced,male,12,6.069
38500,70,162,50,married,male,12,NA
44000,66,175,54,married,female,12,56.29
93000,63,151,50,married,female,12,12.788
62000,72,200,53,married,male,12,26.851
45000,66,170,52,married,male,14,38.419
130000,74,236,50,married,male,16,57.095
45000,72,270,49,married,male,12,22.326
75000,72,215,53,married,male,12,75.473
73000,68,230,54,married,female,14,71.226
55000,65,200,54,married,female,12,78.742
343830,72,210,54,divorced,male,14,69.08
30000,66,148,54,divorced,female,12,30.83
112,62,120,56,married,female,17,91.625
45000,69,240,53,married,male,12,98.841
104000,70,225,51,married,male,12,82.98
51000,70,290,48,divorced,female,14,36.384
165000,71,182,52,married,male,16,87.934
343830,74,215,54,married,male,18,93.246
145000,74,210,48,married,male,20,86.703
40000,70,230,51,divorced,male,18,NA
42000,66,152,52,single,female,16,80.538
115000,64,115,51,married,female,16,83.379
70000,73,200,49,married,male,14,42.78
90000,63,146,48,single,female,17,96.835
23000,68,145,49,single,male,19,78.759
22000,61,165,52,single,female,11,7.198
24000,68,210,49,single,male,14,12.463
25000,72,200,55,married,male,16,80.798
120000,71,160,54,married,male,16,80.298
22000,67,150,49,married,female,16,22.823
36000,59,215,50,divorced,female,12,44.375
87000,70,192,48,divorced,male,12,28.438
44000,68,150,56,married,male,11,NA
50000,65,150,52,divorced,female,12,34.573
50000,63,145,51,married,female,12,36.772
35000,65,200,55,married,female,14,NA
80000,65,130,49,divorced,female,13,40.421
100000,71,250,54,divorced,male,16,76.421
54000,67,175,54,divorced,female,12,81.787
125000,69,200,52,married,male,16,87.651
54000,69,213,50,married,male,16,65.347
60000,68,166,54,married,male,20,96.818
90000,72,185,55,married,male,13,64.697
40000,62,180,53,married,female,12,46.195
32000,68,180,49,widowed,female,12,39.529
50000,70,260,53,married,male,15,98.349
22000,70,180,55,single,male,12,27.671
3000,72,260,50,single,male,16,97.847
60000,64,NA,48,single,female,16,92.618
75000,73,230,51,married,male,12,52.132
250,61,120,51,divorced,female,14,40.114
65000,72,183,54,married,male,14,67.259
94000,71,200,52,single,male,16,92.817
80000,67,205,48,married,male,13,38.315
174030,66,150,51,married,female,16,87.283
80000,68,198,49,separated,male,15,79.832
75000,69,180,54,married,female,17,72.878
65000,64,145,50,married,female,16,85.861
62000,70,230,53,married,male,12,NA
14625,65,187,48,married,female,12,37.874
16000,70,160,50,single,male,12,62.607
93000,68,182,48,divorced,male,12,86.932
15600,61,135,51,married,female,12,22.466
47000,70,225,49,single,male,12,74.997
114000,66,210,48,married,female,12,39.973
114000,64,145,50,married,female,14,93.332
10000,70,208,49,divorced,male,12,47.003
125000,62,140,50,married,female,20,43.873
65000,63,156,55,married,female,18,85.206
80000,67,187,52,married,female,14,77.44
52000,68,320,51,married,female,12,47.296
47000,62,130,53,married,female,12,22.24
50000,66,125,52,married,female,12,46.506
68000,69,180,51,married,male,14,58.432
2160,70,200,51,divorced,male,12,19.981
114000,70,180,50,married,male,16,82.207
65000,60,180,52,married,female,13,47.279
10000,66,130,55,divorced,female,14,NA
65000,72,200,54,married,male,16,77.068
40000,61,135,54,married,female,12,30.455
85000,71,260,54,married,male,14,NA
41000,65,135,51,married,female,16,59.078
56000,72,180,48,single,male,12,77.155
110000,64,163,53,separated,female,14,81.515
12000,66,160,53,separated,female,10,11.983
130000,75,170,54,single,male,16,59.286
142000,63,170,51,divorced,female,18,73.636
150000,68,166,49,married,male,20,89.27
35000,62,130,49,married,female,16,80.48
130000,70,193,54,married,male,16,45.527
150000,72,200,54,married,male,18,87.917
29379,62,150,50,divorced,female,12,17.107
343830,70,195,49,married,male,18,64.239
40000,63,111,54,married,female,12,27.551
10000,69,205,55,married,male,16,86.603
13000,73,270,52,single,male,14,73.184
4400,62,122,55,married,female,12,17.136
65000,70,NA,49,married,male,16,59.04
5000,63,115,48,married,female,16,74.988
50000,72,225,51,married,male,12,57.814
125000,72,255,48,married,male,15,79.883
343830,67,165,55,married,male,16,81.447
124500,64,158,53,married,female,20,60.012
122000,67,130,51,divorced,female,19,89.381
4000,61,185,48,single,female,7,5.315
70000,65,165,49,married,male,10,9.19
14040,64,264,52,single,female,12,13.326
26000,64,168,55,divorced,female,12,6.599
40000,66,180,49,separated,female,11,52.042
80000,70,180,48,single,male,14,34.084
57000,60,140,55,married,female,12,36.443
35000,69,170,51,single,male,14,55.78
65000,70,200,48,married,male,12,31.472
95000,69,247,51,married,male,10,35.461
1000,68,178,49,married,male,15,61.313
46800,65,170,51,married,female,14,71.673
1480,62,225,51,widowed,female,11,13.294
38000,65,180,50,married,female,12,50.483
75000,66,175,53,married,female,12,30.481
99500,72,242,54,married,male,12,62.957
14000,62,250,55,married,female,12,73.828
30000,64,135,50,married,female,14,81.929
130000,71,210,53,married,male,19,52.544
7500,65,199,49,married,female,14,45.311
23000,66,185,49,married,male,12,NA
9250,64,130,48,married,female,12,NA
25000,68,175,48,married,male,11,34.745
43000,64,145,51,divorced,female,12,94.821
10000,64,140,50,married,female,12,46.148
7000,68,175,48,divorced,male,12,58.214
41000,76,260,54,married,male,12,56.348
65000,67,185,51,married,male,16,83.227
102000,71,200,50,married,male,12,73.36
6000,69,150,50,married,female,16,96.501
343830,69,185,53,married,male,16,83.698
4200,72,220,53,married,male,14,64.372
22000,76,290,52,married,male,13,88.343
63500,65,181,49,divorced,female,14,72.963
28000,71,187,53,single,male,12,32.567
130000,75,225,51,married,male,18,72.769
54000,64,120,49,separated,female,16,85.4
75500,69,220,54,divorced,male,11,15.136
100000,65,150,53,married,male,14,44.708
55000,61,140,51,married,female,10,15.448
66246,64,185,48,single,female,14,62.147
28000,67,195,51,single,female,12,15.312
15000,66,142,50,single,female,12,28.861
3000,73,250,53,single,male,12,42.445
61000,65,141,55,divorced,female,20,92.223
60000,64,145,53,married,female,13,91.927
32000,64,155,51,married,female,12,62.191
15000,61,170,55,divorced,female,12,68.168
48000,69,189,51,married,male,12,18.916
1700,62,186,52,divorced,male,12,5.281
37000,64,135,49,divorced,male,12,7.399
13000,67,179,47,single,male,11,11.63
40000,70,230,52,single,male,12,27.277
15000,63,160,55,married,female,12,48.032
31000,70,165,52,married,male,12,18.491
30000,73,195,48,divorced,male,12,24.685
50000,64,260,50,divorced,female,16,52.017
42000,67,167,49,married,male,11,30.794
80000,65,145,53,married,female,14,NA
49817,73,215,53,married,male,16,78.739
150000,69,190,52,married,male,15,68.032
42000,64,128,55,married,female,16,23.404
12000,72,210,53,married,male,12,65.825
95000,69,220,55,married,female,12,31.724
22000,65,197,55,separated,female,15,62.746
25000,69,165,49,divorced,male,12,25.563
25000,60,120,51,single,female,11,14.391
11000,62,145,49,married,female,15,20.415
107000,70,175,49,married,male,18,95.123
27000,60,145,54,separated,female,10,0.738
12000,62,135,53,married,female,17,95.959
170000,68,200,50,divorced,male,16,43.221
42000,69,218,50,married,male,16,47.18
11000,63,160,55,married,female,12,65.997
127000,64,175,48,married,male,13,55.481
70000,67,155,50,married,male,12,41.794
123000,68,200,54,married,male,16,68.746
150000,72,214,51,married,male,16,28.374
800,62,112,51,married,female,18,80.272
45000,71,169,55,single,male,12,19.625
1500,65,120,51,divorced,female,12,29.278
90800,75,225,53,married,male,16,87.76
20000,67,170,50,married,female,14,51.397
52000,69,210,53,single,female,16,76.624
58000,64,295,54,single,female,18,72.481
35000,65,126,54,married,female,16,91.042
40000,67,NA,52,married,female,16,89.893
30000,60,150,54,married,female,12,11.771
80000,66,180,51,divorced,male,18,83.17
115000,74,225,54,single,male,12,49.149
28800,60,147,53,divorced,female,12,11.672
46000,62,148,51,married,female,12,39.687
70000,61,240,50,single,female,15,78.241
54000,66,160,49,divorced,female,12,23.959
52000,72,230,52,married,male,12,93.142
78000,71,232,50,married,male,14,76.768
700,71,170,52,single,male,11,6.294
10000,62,157,50,divorced,female,14,43.91
75000,64,160,55,divorced,female,17,66.314
69000,65,140,51,married,female,16,100
19000,62,185,51,married,female,12,24.833
21000,64,125,54,married,female,12,24.406
35000,60,115,53,married,female,14,16.239
14000,65,155,49,married,male,14,43.726
101000,65,140,49,married,female,18,45.758
76000,74,220,51,married,male,12,85.102
140000,70,185,54,married,male,16,90.513
32000,71,260,51,married,male,12,68.615
25000,62,120,48,married,female,14,73.351
68000,70,210,50,married,male,10,9.537
60000,72,205,52,married,male,13,55.338
13500,67,170,49,married,female,13,60.767
34500,67,200,49,divorced,male,12,48.516
35000,67,160,48,married,male,16,66.045
30000,67,183,54,married,male,19,99.379
105000,61,109,53,married,female,17,NA
19000,64,195,55,divorced,female,12,39.354
80000,74,225,55,married,male,12,27.838
42000,63,213,52,married,female,14,78.081
95000,72,200,49,divorced,male,12,65.734
19000,60,155,49,married,female,12,68.679
21000,64,NA,55,married,female,12,71.472
35000,59,165,49,divorced,female,12,79.95
88000,65,184,51,married,female,16,75.485
19000,63,175,55,married,female,12,64.195
49000,70,175,51,married,male,14,97.365
5000,66,187,51,married,female,16,80.238
100,74,265,48,married,male,16,93.639
17000,62,200,52,married,female,12,47.638
41000,64,230,48,married,female,18,55.829
43000,64,110,53,married,female,19,94.516
71353,68,200,54,single,male,18,48.986
60000,69,200,52,divorced,male,16,78.555
82000,67,225,51,married,female,18,86.548
40000,64,130,49,married,female,20,85.905
28000,66,180,50,single,female,15,31.254
85000,67,160,51,divorced,male,16,90.491
50000,69,226,52,married,female,18,95.252
65000,71,200,53,married,male,14,79.33
5000,66,143,49,married,female,12,85.844
38000,72,220,55,married,male,16,NA
158000,66,140,54,married,male,16,90.968
4000,66,125,50,divorced,female,11,29.752
28000,71,155,52,single,male,12,NA
32000,64,140,51,divorced,female,12,40.756
8000,64,145,48,divorced,female,12,20.137
20000,62,135,48,married,female,12,NA
11000,72,225,49,divorced,male,12,32.913
106000,73,218,49,married,male,16,76.189
55000,70,190,55,married,male,19,51.896
120000,75,290,54,married,male,19,93.653
343830,74,190,53,married,male,16,77.991
110000,68,190,55,married,male,12,47.109
30000,69,170,51,separated,male,12,13.303
12000,63,105,50,married,female,12,8.229
343830,69,205,49,married,male,12,50.498
75000,71,210,49,married,male,13,56.47
60000,73,195,51,married,male,15,59.586
28000,64,140,51,married,female,12,54.285
32000,71,310,48,married,male,14,73.292
33200,67,165,52,divorced,female,17,69.07
56000,68,200,49,single,female,18,92.866
69000,69,205,55,married,male,12,NA
49000,62,160,51,married,female,14,39.163
75000,63,175,49,married,female,16,64.295
55000,65,187,49,married,female,19,78.966
103000,71,175,52,divorced,male,14,71.792
5443,64,240,52,single,female,16,43.741
70000,67,160,51,married,male,14,51.831
13000,69,150,50,single,male,11,3.292
10000,61,150,49,single,female,11,2.837
87000,72,210,54,married,male,16,26.381
60000,69,207,52,single,male,16,37.473
62000,71,202,49,married,male,14,23.333
75000,63,NA,55,divorced,female,13,61.184
136000,64,150,49,divorced,female,11,30.237
7000,60,180,53,married,female,14,55.185
54000,66,148,48,married,male,12,0.982
